VisitorID;Proj_Group;Proj_Segment;Proj_Type;Visitor_Group;Visitor_Gender;Question_Age;Question_Budget;Question_HHIncome;Question_InstallmentMonthly;Question_MarriageStatus;Question_Nationality;Question_Occupation;Question_P_Income;Question_TimeToMoveIn;Target
41694;Outer;D;Standard Units;;M;;5,5;121106;;;;Civil Servant;120000;;0
44260;Outer;C;Standard Units;Outer;M;31 - 35;8,75;203598;64891;Single;India;Business Owner;;;0
24424;Outer;C;Standard Units;Outer;F;< 25;7;205674;;Single;;Business Employee;120000;;0
29867;Outer;C;Standard Units;;F;< 25;;499410;;Single;;Civil Servant;105000;;0
112916;Other;B;Premium Units;;M;36 - 40;6,5;81069;;Single;India;Business Owner;;;0
83834;Urban;B;Standard Units;Outer;M;31 - 35;9,75;180871;64288;Single;;Business Owner;;;0
3841;Outer;C;Standard Units;Outer;F;31 - 35;7;129963;;Married with Children;;Business Owner;95000;;0
93433;Urban;B;Standard Units;;F;36 - 40;8,5;114570;;Single;;Civil Servant;;;0
84506;Outer;A;Standard Units;Major;M;25 - 30;23,5;573721;94270;Married with Children;;Business Owner;;;0
108144;Major;D;Premium Units;;M;;3,5;;;;;;;;0
28533;Outer;A;Standard Units;Major;F;25 - 30;36;511141;125691;Married with Children;;Business Owner;;;0
44291;Outer;C;Standard Units;Outer;F;25 - 30;5,5;297064;;Married with Children;;Business Owner;105000;;0
64466;Urban;A;Standard Units;;M;31 - 35;16;634988;;Married with Children;;Business Employee;300000;;0
106169;Outer;B;Standard Units;Central;F;25 - 30;10,3;235140;64215;Single;India;Business Employee;;;0
85365;Outer;B;Standard Units;Outer;M;36 - 40;5,5;77845;Cash;Married;;Civil Servant;;;0
100504;Urban;B;Standard Units;Outer;F;41 - 45;13,5;262565;79736;Married;India;Business Owner;;;0
97723;Other;B;Premium Units;;M;41 - 45;;;;;Non-India;Civil Servant;;;0
21416;Outer;B;Standard Units;Outer;M;< 25;3,5;155209;;Single;;Business Owner;85000;;0
16216;Central;E;Premium Units;Outer;M;41 - 45;31;566606;Cash;Single;India;;;;0
22123;Urban;B;Standard Units;;F;31 - 35;9,5;159762;;Married;;;160000;;0
59378;Outer;B;Premium Units;Outer;F;31 - 35;4,5;634458;18618;Single;;Business Employee;120000;;0
2783;Outer;B;Standard Units;Central;F;31 - 35;6,5;247047;38809;;;Business Employee;;;0
96288;Outer;B;Standard Units;;M;31 - 35;11,3;175450;91105;;;;;;0
49351;Outer;C;Standard Units;;M;31 - 35;6,5;219775;;Single;;Business Employee;95000;;0
35101;Major;B;Premium Units;Outer;F;36 - 40;4,5;484018;44145;Married with Children;;Business Owner;225000;;0
85302;Major;B;Standard Units;Major;M;31 - 35;5,5;148685;61417;Single;;Business Employee;;;0
11491;Outer;C;Standard Units;;M;36 - 40;;308146;;Married;;Business Owner;105000;;0
8074;Outer;C;Standard Units;Outer;F;31 - 35;4;;42854;Single;;Business Employee;120000;8;0
22294;Outer;B;Standard Units;Outer;M;< 25;5,5;241774;;Married;;Business Owner;95000;;1
3314;Urban;B;Standard Units;Major;M;31 - 35;;;;Married with Children;;;160000;;1
38169;Outer;B;Standard Units;Major;F;36 - 40;9,5;640333;;Single;;Business Owner;140000;;0
19775;Central;B;Premium Units;Outer;M;< 25;6,5;474495;35327;Single;;Business Employee;120000;;0
106339;Major;B;Standard Units;Major;F;36 - 40;10,5;624131;;Single;;Business Owner;;;0
88220;Outer;B;Standard Units;Major;M;25 - 30;11,3;159016;51499;Single;India;Business Employee;;;0
16114;Outer;B;Standard Units;Outer;F;36 - 40;4,5;323227;;Married;;Civil Servant;85000;;0
48275;Outer;B;Standard Units;Central;F;51 +;8;95308;;Single;;Business Owner;75000;;0
3612;Urban;A;Standard Units;Outer;F;25 - 30;16;677704;;Married;;Business Owner;;;0
113092;Urban;B;Standard Units;Major;F;25 - 30;8,5;153783;74358;Single;India;Business Employee;;;0
55726;Outer;B;Standard Units;;M;31 - 35;8;467430;;Single;;Business Owner;225000;;0
43697;Major;D;Standard Units;Major;M;36 - 40;6,5;169197;;Married with Children;;Business Owner;120000;;0
105267;Major;B;Standard Units;;M;31 - 35;4,5;293303;38681;Single;India;Business Owner;;;0
104209;Urban;D;Standard Units;;F;25 - 30;4,5;186072;36878;Single;India;Business Employee;;;0
54234;Urban;C;Standard Units;Major;M;31 - 35;2,5;239451;;Married with Children;;Business Owner;85000;;0
97462;Outer;C;Premium Units;;F;25 - 30;;;;Single;;;;;0
14174;Outer;B;Standard Units;Outer;M;< 25;3,5;109024;;Single;;Business Owner;95000;;0
111512;Outer;B;Standard Units;Outer;M;41 - 45;7,5;208834;Cash;Married with Children;India;Business Owner;;;0
112427;Major;C;Premium Units;Major;M;51 +;3,5;501307;Cash;;;;;;1
109461;Major;D;Premium Units;;F;31 - 35;3,5;;22584;Single;India;Business Employee;;;0
354;Urban;B;Standard Units;Outer;M;25 - 30;6,5;252692;38817;Single;;Business Employee;;;0
12896;Outer;C;Premium Units;;M;;3,5;;;Single;;;;;0
91758;Other;B;Premium Units;;M;46 - 50;;;;Married with Children;Non-India;Business Owner;;;0
13160;Outer;B;Standard Units;Outer;M;< 25;5,5;305060;;Single;;Other(Please specify);185000;;1
41926;Outer;C;Standard Units;Outer;M;36 - 40;7;244546;;Married with Children;;Business Employee;95000;;0
54410;Outer;B;Standard Units;Outer;F;41 - 45;6,5;234880;;Married with Children;;Business Owner;160000;;0
13814;Outer;B;Standard Units;Outer;F;31 - 35;5,5;164293;;Single;;Business Owner;105000;;0
17133;Central;B;Premium Units;;F;< 25;3,5;217689;28266;Single;;Civil Servant;75000;;0
47808;Major;D;Premium Units;Major;F;;2,5;;;;India;;;;1
63636;Major;D;Premium Units;Major;M;< 25;3,5;193247;;Single;;Civil Servant;;;0
81391;Urban;B;Premium Units;;F;;3,5;;;;;;;;0
37445;Urban;B;Standard Units;;F;;;;;;;;;;0
80362;Urban;A;Standard Units;Outer;M;46 - 50;18,5;571480;92891;Married with Children;India;Civil Servant;;;0
87817;Outer;D;Standard Units;Outer;M;25 - 30;6,5;215429;45030;Married with Children;;Business Employee;;;0
56147;Urban;B;Standard Units;;F;36 - 40;7;;;;;Business Employee;;;0
48078;Outer;B;Standard Units;Outer;M;31 - 35;6,5;252271;;Single;;Business Owner;140000;;0
6250;Outer;B;Standard Units;Major;M;31 - 35;6,5;145574;35238;Single;;Civil Servant;;;0
13510;Outer;B;Standard Units;;M;36 - 40;3,5;172494;;Married with Children;;Business Owner;95000;;0
102797;Urban;D;Standard Units;;F;;;;;;;;;;0
118664;Outer;D;Standard Units;;F;31 - 35;6,5;291624;57779;Married with Children;India;Business Owner;;;0
7649;Outer;B;Standard Units;Outer;M;25 - 30;10,3;338003;53464;Single;;Business Owner;;;0
84795;Other;B;Premium Units;;M;;;;;;;;;;0
55126;Urban;C;Standard Units;Major;F;36 - 40;3,5;106494;;Married;;Business Owner;85000;;0
66074;Outer;B;Standard Units;Outer;F;51 +;13,5;336034;;Married with Children;;Other(Please specify);300000;;0
91710;Outer;B;Standard Units;Outer;F;51 +;13,5;313857;101391;Married with Children;;Business Owner;;;0
102462;Major;D;Premium Units;Outer;M;51 +;2,5;140635;30125;Married with Children;India;Civil Servant;;;1
15518;Outer;C;Premium Units;;F;46 - 50;3,5;499288;40569;Married;;Business Employee;350000;;0
108752;Major;D;Premium Units;Major;F;25 - 30;4,5;216318;23742;Single;;Business Employee;;;0
837;Urban;B;Standard Units;Outer;M;;10,5;;;Married;;Business Owner;;;0
79817;Urban;B;Standard Units;Major;M;25 - 30;6,5;114740;53473;Single;;Civil Servant;;;0
79076;Outer;B;Standard Units;Outer;M;36 - 40;14,5;271301;55339;Married;;Business Employee;;;0
51312;Outer;A;Standard Units;;M;46 - 50;14,5;431033;;Married with Children;;Business Owner;225000;;0
98064;Major;B;Standard Units;;M;36 - 40;7,5;115519;42121;Married;India;Business Employee;;;0
16222;Outer;C;Standard Units;Outer;F;31 - 35;;181798;;Single;;Business Owner;95000;;0
86195;Urban;D;Standard Units;;M;< 25;6,5;427559;42743;Single;;Business Owner;;;0
18119;Outer;C;Premium Units;;F;< 25;2,5;;25036;Single;;;;;0
106177;Urban;D;Standard Units;Outer;F;51 +;5,5;192553;25863;Married with Children;;Business Owner;;;0
101881;Urban;C;Standard Units;;F;25 - 30;7,5;329651;;Single;;Business Employee;;;0
896;Urban;D;Standard Units;Major;M;41 - 45;8;196912;;Married;;Business Owner;225000;;0
1791;Outer;C;Standard Units;Outer;F;;;;;Married with Children;;;;;0
61883;Major;D;Premium Units;Major;M;41 - 45;3,5;195458;21871;Married;;Civil Servant;;;0
110839;Urban;B;Standard Units;Outer;F;41 - 45;7,5;269479;70962;Married with Children;India;Business Employee;;;0
60279;Urban;B;Premium Units;Major;F;36 - 40;3,5;;36124;Single;;Civil Servant;95000;;0
99581;Outer;C;Premium Units;;M;;4,5;;;;Non-India;;;;0
29189;Urban;B;Standard Units;;F;36 - 40;;;;Married;;Business Owner;;;0
27299;Outer;B;Standard Units;Outer;M;31 - 35;9,5;328233;;Married;;Business Employee;300000;;0
51399;Urban;B;Standard Units;;F;41 - 45;7;122584;;Single;;Civil Servant;75000;;0
50168;Outer;B;Standard Units;Outer;F;25 - 30;5,5;186910;;Single;;Business Owner;95000;;0
74650;Major;C;Premium Units;Outer;F;;10,3;;;Married with Children;;;;;0
13553;Outer;B;Standard Units;Central;M;< 25;4,5;447739;;Single;;Business Owner;300000;;0
114495;Outer;B;Standard Units;;M;36 - 40;10,3;204418;83540;Married;;Business Owner;;;0
94339;Urban;C;Standard Units;Major;M;< 25;;;;;;;;;0
2034;Outer;B;Standard Units;;M;36 - 40;7,5;350616;71077;Single;;Business Employee;;;0
19242;Outer;B;Standard Units;Central;M;46 - 50;8;298298;;Married with Children;;Business Owner;300000;;0
108561;Major;D;Premium Units;Major;M;36 - 40;3,5;60261;35206;Married with Children;India;Business Owner;;;0
82186;Urban;C;Standard Units;Major;M;36 - 40;4,5;274137;64717;Married;;Business Employee;;;1
47560;Outer;B;Standard Units;Other;M;46 - 50;6,5;297201;;Married with Children;;Business Employee;185000;;0
114092;Urban;C;Standard Units;;M;25 - 30;6,5;187735;37469;Single;;Civil Servant;;;0
94522;Outer;B;Standard Units;Outer;M;41 - 45;7,5;;;Single;;Business Owner;;;0
60916;Central;B;Premium Units;Central;F;;3,5;;;Single;;Business Employee;;;0
16883;Urban;B;Standard Units;Outer;M;;10,5;;;Married;;;;;0
25886;Outer;C;Standard Units;;F;< 25;4,5;147911;;Single;;Civil Servant;75000;;0
30674;Outer;B;Standard Units;Outer;F;36 - 40;8,5;242535;59931;Single;;Business Employee;;;0
110911;Outer;B;Premium Units;;F;41 - 45;6,5;140913;46602;Single;;Business Owner;;;0
119887;Urban;D;Standard Units;Major;M;25 - 30;5,5;192272;48551;Single;;Business Employee;;;0
116699;Outer;D;Premium Units;Outer;M;41 - 45;2,5;225859;27936;Married with Children;India;Business Owner;;;1
55320;Outer;B;Standard Units;Outer;M;;7;550447;;Single;;Business Owner;95000;;0
36353;Outer;C;Standard Units;;F;31 - 35;7;259247;;Married;;Business Employee;;;0
113321;Urban;A;Standard Units;;F;36 - 40;41;158326;;Married with Children;India;Other(Please specify);;;0
31202;Urban;B;Premium Units;Major;M;;3,5;;;;;;;;1
83617;Urban;D;Premium Units;;F;;;;;;;;;;0
55514;Urban;D;Standard Units;Outer;M;31 - 35;7;618838;;Single;;Business Employee;95000;;0
1524;Outer;B;Standard Units;Outer;F;46 - 50;8;424712;;Married with Children;;Business Owner;300000;;0
87757;Outer;B;Standard Units;Outer;M;;7,5;299551;56286;Married with Children;;Business Employee;;;0
2265;Urban;A;Standard Units;Outer;F;36 - 40;17;578928;;Married with Children;;Business Owner;;;0
99528;Major;B;Premium Units;;M;;;;;;;;;;0
103958;Outer;B;Standard Units;Central;M;31 - 35;10,3;129482;77917;Married with Children;;Civil Servant;;;0
112597;Outer;B;Premium Units;Outer;M;25 - 30;4,5;83428;;Single;India;Business Owner;;;0
9102;Outer;B;Standard Units;Central;M;46 - 50;6,5;314172;;;;;;;1
3932;Urban;B;Standard Units;Outer;M;36 - 40;5,5;214554;;Married with Children;;Business Owner;185000;;0
38754;Major;D;Standard Units;Major;F;36 - 40;4,5;106350;;Single;;Business Employee;105000;;0
104849;Major;C;Premium Units;Other;F;;;;;;;;;;1
37705;Outer;B;Standard Units;Other;M;51 +;;465156;112793;Married with Children;;Business Owner;;;0
103078;Other;B;Premium Units;;M;46 - 50;;;;Married;Non-India;;;;0
22213;Central;B;Premium Units;Outer;M;41 - 45;3,5;;37212;Single;;Business Owner;225000;;0
66285;Urban;C;Standard Units;;F;36 - 40;6,5;241345;;Single;;Civil Servant;85000;;0
23596;Outer;B;Standard Units;Outer;F;41 - 45;6,5;311046;;Married with Children;;Business Employee;160000;;1
115949;Urban;C;Standard Units;;F;41 - 45;7,5;;Cash;Married with Children;;Civil Servant;;;0
55676;Urban;B;Standard Units;Major;F;46 - 50;14,5;;;Married with Children;;Other(Please specify);;;0
97701;Outer;C;Premium Units;;M;;2,5;;;;India;;;;0
44031;Outer;D;Standard Units;;M;< 25;6,5;;;Single;;Business Employee;;;0
73786;Major;C;Premium Units;;M;41 - 45;;;;Married with Children;;Business Owner;;;0
9065;Urban;C;Standard Units;Major;F;31 - 35;2,5;;;;;Other(Please specify);85000;;1
63559;Major;D;Premium Units;Major;F;46 - 50;2,5;298724;30481;Married with Children;India;Business Owner;;;1
70375;Outer;C;Standard Units;;F;36 - 40;8,5;589484;52284;Married with Children;;Business Owner;;;0
93531;Urban;C;Standard Units;;M;46 - 50;7,5;308261;68238;Married with Children;;Business Employee;;;0
46160;Urban;C;Standard Units;Other;F;25 - 30;7;198438;;Single;;Business Owner;140000;;0
63238;Outer;D;Standard Units;Major;F;31 - 35;8;205213;;Married with Children;;Business Owner;;;0
62448;Urban;D;Premium Units;Major;M;;;;;;;;;;1
119983;Other;C;Premium Units;;M;;;;;;;;;;0
52549;Outer;C;Standard Units;Outer;F;31 - 35;17;464782;;;;Business Owner;;;0
68566;Outer;B;Standard Units;Central;F;31 - 35;8,5;186482;;Single;;Business Employee;;;0
63600;Outer;C;Standard Units;Central;F;41 - 45;6,5;462157;;Single;;Business Employee;;;0
58277;Urban;D;Standard Units;Major;M;31 - 35;6,5;325294;;Married;;Business Employee;140000;;0
1633;Urban;A;Standard Units;Central;F;46 - 50;16;524950;;Married with Children;;Business Owner;;;0
13642;Outer;C;Standard Units;Outer;M;< 25;3,5;134380;;Single;;Business Employee;85000;;0
26164;Urban;B;Standard Units;Major;F;41 - 45;9,5;555108;;Married with Children;;Business Owner;;;0
32639;Urban;B;Standard Units;Outer;F;< 25;8;;;Single;;Business Employee;75000;;0
86947;Outer;D;Premium Units;;M;;;;;;;;;;0
27582;Outer;A;Standard Units;Outer;F;51 +;17;587981;;Married;;Business Employee;160000;;0
49641;Outer;B;Standard Units;Central;F;36 - 40;7;90589;;Single;;Civil Servant;75000;;0
108422;Outer;B;Standard Units;Central;F;31 - 35;10,3;232515;Cash;Married with Children;India;Business Owner;;;0
57860;Other;B;Premium Units;Other;F;31 - 35;5,5;314571;47437;Single;India;Business Employee;;;1
22183;Outer;C;Premium Units;Outer;F;;3,5;;27945;;;;;;0
83456;Urban;D;Standard Units;Outer;F;31 - 35;4,5;205130;38670;Single;;Civil Servant;;;0
104692;Outer;B;Standard Units;;F;36 - 40;6,5;138674;60332;Single;;Business Owner;;;0
40340;Outer;D;Standard Units;Outer;F;31 - 35;8;268821;;Single;;Business Employee;85000;;0
113445;Outer;B;Premium Units;;M;25 - 30;5,5;141608;88508;Single;India;Business Owner;;;0
105376;Urban;D;Standard Units;Outer;M;;6,5;180934;41990;Single;;Civil Servant;;;0
33059;Major;B;Premium Units;;F;36 - 40;23,5;665938;175015;Married with Children;;Business Owner;;;0
44376;Outer;B;Standard Units;Central;F;< 25;4,5;107698;;Single;;Civil Servant;;;0
92250;Urban;C;Standard Units;;F;25 - 30;2,5;198013;21122;Single;;Business Owner;;;0
54989;Outer;C;Premium Units;;M;31 - 35;4,5;278689;28110;Married;;;160000;;0
107503;Major;D;Premium Units;;F;;;;;;;;;;0
18484;Urban;B;Standard Units;Major;F;41 - 45;9,5;108646;;Married with Children;;Civil Servant;85000;;0
53290;Urban;B;Standard Units;Major;F;41 - 45;14,5;688258;68690;Married;India;Business Owner;;;0
36665;Outer;D;Standard Units;Outer;F;31 - 35;5,5;232947;;Married with Children;;Business Owner;120000;;0
23347;Urban;C;Standard Units;Major;F;31 - 35;2,5;64149;;Single;;Business Owner;75000;;0
2630;Outer;B;Standard Units;Outer;M;31 - 35;5,5;376098;;Single;;Business Employee;225000;;0
21796;Outer;C;Premium Units;Outer;M;36 - 40;2,5;;31671;Single;;Business Employee;75000;;0
74930;Major;C;Premium Units;;M;;;;;;;;;;0
112689;Other;B;Premium Units;;M;36 - 40;;;;Married with Children;Non-India;Business Owner;;;0
76955;Major;C;Premium Units;Major;F;;;;;;India;;;;0
49449;Urban;C;Standard Units;Major;M;51 +;9,5;243752;;Married with Children;;Business Owner;160000;;0
78565;Major;B;Standard Units;;M;;;;;;;;;;0
26880;Outer;B;Standard Units;;M;46 - 50;2,5;75875;;Married with Children;;Civil Servant;75000;;0
97752;Major;B;Premium Units;;F;;;;;;;;;;0
49889;Outer;B;Standard Units;Outer;;41 - 45;10,5;312952;;;;;225000;;0
81474;Outer;D;Premium Units;;M;;;;;;;;;;0
95642;Urban;D;Standard Units;Outer;F;25 - 30;6,5;261421;62523;Married with Children;;Business Owner;;;0
7579;Outer;B;Standard Units;Outer;M;36 - 40;8;;;Married with Children;;;;;0
74738;Outer;B;Premium Units;;M;;;;;;;;;;0
80372;Outer;B;Standard Units;;M;25 - 30;8,5;293944;53695;Single;;Business Employee;;;0
118999;Outer;D;Standard Units;;M;25 - 30;4,5;85617;43057;Single;India;Business Employee;;;0
118427;Major;B;Standard Units;Major;M;31 - 35;18,5;291833;120474;Single;India;Civil Servant;;;0
98496;Major;B;Premium Units;Outer;M;51 +;5,5;352086;50240;Married with Children;;Civil Servant;;;0
53942;Urban;C;Standard Units;Major;F;< 25;;;;Single;;Business Owner;;;0
82632;Major;D;Premium Units;;M;;;;;;;;;;0
25901;Outer;B;Standard Units;Outer;M;< 25;10,5;46994;;Single;;Business Employee;75000;;0
14522;Outer;C;Standard Units;Central;F;< 25;4,5;157154;;Single;;Business Employee;75000;;0
44728;Outer;C;Standard Units;Outer;M;41 - 45;9,5;694128;;Married with Children;;Business Owner;;;1
15725;Outer;B;Standard Units;Outer;M;36 - 40;4,5;97782;;Married with Children;;Other(Please specify);95000;;0
78270;Major;B;Standard Units;;M;;;;;;;;;;0
59187;Outer;B;Premium Units;Central;F;41 - 45;4,5;314660;63564;Single;;Business Employee;140000;;0
27064;Outer;C;Standard Units;Outer;M;< 25;3,5;236792;;Single;;Business Owner;85000;;0
67361;Major;B;Standard Units;Central;F;;;;;;;;;;0
59595;Major;B;Premium Units;Major;F;;2,5;211750;37358;Married;;Business Employee;120000;;0
45240;Outer;B;Standard Units;Outer;M;25 - 30;13,5;366093;;Married;;Business Employee;140000;;0
102856;Major;B;Standard Units;;M;;;;;Married;;;;;0
114161;Urban;C;Standard Units;;M;25 - 30;3,5;189398;25843;Single;India;Business Owner;;;0
40599;Outer;C;Standard Units;Central;M;36 - 40;4,5;75342;;Single;;Business Owner;95000;;0
38803;Major;D;Standard Units;Major;M;41 - 45;3,5;122567;;Married with Children;;Business Employee;95000;;0
32619;Outer;C;Standard Units;Other;M;51 +;4,5;82600;;Married;;Civil Servant;85000;;0
12157;Outer;C;Standard Units;Outer;F;36 - 40;4,5;;;Single;;Civil Servant;85000;;0
81630;Major;D;Premium Units;;F;;;;;;;;;;0
7515;Outer;C;Standard Units;;F;25 - 30;5,5;125558;45347;Married;;Business Employee;85000;8;0
111777;Outer;B;Standard Units;;M;31 - 35;8,5;208359;46121;Married;;Business Employee;;;0
118998;Outer;C;Premium Units;;F;41 - 45;;;;;India;Business Employee;;;0
2849;Urban;B;Standard Units;Outer;M;36 - 40;8;235696;;Single;;Business Employee;105000;;0
110669;Urban;D;Standard Units;Outer;F;41 - 45;4,5;104292;35085;Married;India;Civil Servant;;;0
109508;Outer;D;Standard Units;;M;51 +;7,5;;;Married with Children;;Other(Please specify);;;0
116796;Outer;D;Standard Units;;F;31 - 35;5,5;252834;Cash;Married;India;Business Owner;;;0
50960;Outer;C;Premium Units;Major;F;31 - 35;3,5;227991;20546;Single;India;Business Employee;;;1
61907;Major;D;Premium Units;Major;M;36 - 40;4,5;276148;45307;Married with Children;India;Business Owner;;;0
28882;Outer;B;Standard Units;Central;F;51 +;14,5;326596;;Married with Children;;Business Owner;225000;;0
88750;Major;B;Standard Units;;M;;;;;;;;;;0
78958;Urban;D;Premium Units;;F;;;;;;;;;;0
86025;Urban;B;Premium Units;;M;;3,5;;;;;;;;0
65337;Outer;C;Standard Units;Major;M;36 - 40;7;345038;;Married with Children;;Business Employee;300000;;0
99463;Outer;C;Premium Units;;M;36 - 40;3,5;;44671;Married with Children;India;;;;0
59804;Outer;B;Standard Units;Major;M;31 - 35;6,5;107925;;Married;;Business Employee;140000;;0
44825;Outer;C;Standard Units;Outer;F;41 - 45;10,5;270037;;Married with Children;;Other(Please specify);120000;;0
110554;Outer;B;Standard Units;Outer;M;31 - 35;11,3;431952;85059;Single;;Business Employee;;;0
96740;Outer;B;Standard Units;;F;31 - 35;9,75;192298;70894;Married;;Business Employee;;;0
6146;Outer;C;Standard Units;Outer;F;41 - 45;8,75;279891;Cash;Married;;Business Employee;;;0
35094;Outer;B;Standard Units;Outer;M;25 - 30;4,5;;;Single;;Business Owner;85000;;0
81814;Major;C;Premium Units;Outer;M;51 +;;;;Married with Children;;Business Owner;;;0
3210;Outer;C;Standard Units;;F;;;;;;;;;;0
45670;Urban;B;Standard Units;Major;F;46 - 50;9,5;213709;;;;;95000;;0
86703;Outer;B;Standard Units;Outer;M;31 - 35;9,75;207892;52907;Married with Children;;Business Owner;;;0
28766;Outer;B;Standard Units;Outer;F;46 - 50;5,5;300242;;Married with Children;;Business Owner;140000;;0
118022;Urban;B;Standard Units;;F;;4,5;;39255;Single;India;Business Employee;;;0
103440;Urban;D;Standard Units;Other;F;;;;;;;;;;0
66295;Outer;D;Standard Units;Central;M;;6,5;615664;;Single;;Business Owner;;;0
79856;Major;D;Premium Units;Major;M;;;;;;;;;;0
102122;Major;D;Premium Units;Other;F;;;;;;;;;;0
56668;Urban;B;Standard Units;Outer;F;25 - 30;7;300366;;Single;;Other(Please specify);75000;;0
74376;Major;C;Premium Units;;M;;;507926;;Single;;Civil Servant;;;0
49219;Outer;B;Standard Units;Outer;F;31 - 35;13,5;210792;;Married with Children;;Business Owner;225000;;0
60071;Outer;B;Premium Units;;M;;4,5;;;;;;;;0
113480;Major;D;Standard Units;Major;M;36 - 40;4,5;245272;33898;Married;India;Business Employee;;;0
74203;Major;C;Premium Units;;M;25 - 30;4,5;588644;35205;Single;;Business Employee;;;0
75176;Major;B;Standard Units;Major;M;25 - 30;;560983;Cash;Single;;Other(Please specify);;;0
3470;Outer;B;Standard Units;Outer;M;46 - 50;10,5;274036;;Married;;Civil Servant;120000;;0
109973;Outer;A;Standard Units;Central;M;31 - 35;23,5;561116;159168;Married;;Business Owner;;;0
84309;Other;B;Premium Units;;F;;;;;;;;;;0
97057;Major;B;Premium Units;;F;;;;;;;;;;0
34114;Urban;B;Standard Units;Central;F;41 - 45;7;350888;;Married;;Business Employee;160000;;0
6892;Outer;C;Standard Units;Outer;F;31 - 35;4;82765;46089;Single;;Business Employee;85000;3;0
41159;Urban;D;Standard Units;;M;31 - 35;5,5;155708;;Married;;Business Employee;105000;;0
8030;Outer;B;Standard Units;;M;31 - 35;13,5;690106;123504;Single;India;Business Employee;;;0
